Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score,Rating
TimeSplitters2,GC,2002,Shooter,Eidos Interactive,1.62,0.43,0,0.05,2.1,88,9,T
RivalSchools:UnitedByFate,PS,1998,Fighting,Capcom,0.48,0.32,1.12,0.12,2.08,88,,
XCOM2,PS4,2016,Strategy,Take-Two Interactive,0.57,1.14,0,0.29,2,88,8,T
NBAStreet,GC,2002,Sports,Electronic Arts,1.57,0.43,0,0.05,2,88,8.6,E
SSXTricky,XB,2001,Sports,Electronic Arts,1.45,0.41,0,0.09,1.95,88,8.5,E
BioShock2,PC,2010,Shooter,Take-Two Interactive,0.15,1.46,0,0.31,1.85,88,8,M
MVPBaseball2005,GC,2005,Sports,Electronic Arts,1.39,0.39,0,0.06,1.83,88,8.7,E
TotalWar:Shogun2-FalloftheSamurai,PC,2012,Strategy,Sega,0.64,0.91,0,0.18,1.82,88,,
BloodOmen:LegacyofKain,PS,1996,Role-Playing,Crystal Dynamics,0.93,0.63,0,0.11,1.63,88,,
NBAStreetV3,GC,2005,Sports,Electronic Arts,1.28,0.33,0,0.06,1.61,88,8.4,E
Oddworld:Stranger'sWrath,XB,2005,Adventure,Electronic Arts,1.06,0.33,0,0.06,1.44,88,9.1,T
Kirby'sDreamLand3,SNES,1997,Platform,Nintendo,0,0,1.38,0,1.38,88,,
CompanyofHeroes:Anthology,PC,2009,Strategy,THQ,0,1.07,0,0.21,1.29,88,,
Meteos,DS,2005,Puzzle,Nintendo,0.83,0.06,0.33,0.06,1.28,88,7.5,E
ShovelKnight,WiiU,2015,Platform,Yacht Club Games,0.63,0.5,0,0.13,1.25,88,8.3,E
Burnout2:PointofImpact,XB,2003,Racing,Acclaim Entertainment,0.9,0.25,0,0.05,1.2,88,5.1,E
NCAAFootball2005,GC,2004,Sports,Electronic Arts,0.89,0.21,0,0.05,1.16,88,9,E
BombermanTournament,GBA,2001,Puzzle,Activision,0.45,0.18,0.45,0.05,1.14,88,,E
DragonAge:Origins-UltimateEdition,PC,2010,Role-Playing,Electronic Arts,0,0.92,0,0.15,1.08,88,,
JSRF:JetSetRadioFuture,XB,2002,Action,Sega,0.62,0.19,0.14,0.05,1,88,8.2,T
TigerWoodsPGATour2005,GC,2004,Sports,Electronic Arts,0.53,0.16,0,0,0.74,88,tbd,E
ShenmueII,DC,2001,Adventure,Sega,0,0,0.68,0,0.68,88,9.4,T
Psychonauts,XB,2005,Platform,THQ,0.5,0.17,0,0,0.67,88,9,T
MedievalII:TotalWar,PC,2006,Strategy,Sega,0,0.47,0,0.12,0.59,88,8.9,T
DiabloII,PC,2000,Role-Playing,Havas Interactive,0.04,0.43,0,0.09,0.57,88,8.8,M
ESPNNHLHockey,XB,2003,Sports,Sega,0.4,0.1,0,0,0.55,88,8.4,E
BurnoutParadise:TheUltimateBox,PS3,2009,Racing,Electronic Arts,0,0.36,0.07,0.07,0.5,88,,
Counter-Strike:Source,PC,2004,Shooter,Vivendi Games,0,0.37,0,0.11,0.42,88,8.9,M
TheTalosPrinciple,PS4,2015,Puzzle,Devolver Digital,0,0.25,0,0,0.38,88,8.4,E10+
TonyHawk'sProSkater3,N64,2002,Sports,Activision,0.29,0.1,0,0,0.38,88,,
MicrosoftFlightSimulator2004:ACenturyofFlight,PC,2003,Simulation,Microsoft Game Studios,0,0.3,0,0.05,0.35,88,8.2,E
MetalGearSolid,GB,2000,Action,Konami Digital Entertainment,0,0,0.3,0,0.3,88,,
AggressiveInline,GC,2002,Sports,Acclaim Entertainment,0.19,0.05,0,0,0.29,88,7.8,T
ZeroEscape:Virtue'sLastReward,3DS,2012,Adventure,Rising Star Games,0.27,0,0,0,0.27,88,8.8,M
BurnoutParadise:TheUltimateBox,X360,2009,Racing,Electronic Arts,0,0.21,0,0,0.21,88,,
StarCraft,PC,1998,Strategy,Activision,0,0.16,0,0.04,0.2,88,9.1,T
Mafia,PC,2002,Action,Take-Two Interactive,0,0.19,0,0.05,0.19,88,9.1,M
ChampionshipManagerSeason01/02,PC,2001,Sports,Eidos Interactive,0,0.14,0,0,0.14,88,,
R-TypeDelta,PS,1998,Shooter,Irem Software Engineering,0.04,0.04,0,0,0.12,88,,
WinningEleven:ProEvolutionSoccer2007,PC,2006,Sports,Konami Digital Entertainment,0,0.06,0,0,0.06,88,,E
NewSuperMarioBros.Wii,Wii,2009,Platform,Nintendo,103.14,49.57,33.57,16,202.29,87,8.4,E
PokemonBlack/PokemonWhite,DS,2010,Role-Playing,Nintendo,42.38,24.38,43.46,6.15,116.46,87,,
CallofDuty:BlackOps,X360,2010,Shooter,Activision,74.62,28.31,0.85,8.69,112.38,87,6.3,M
PokemonSun/Moon,3DS,2016,Role-Playing,Nintendo,42.57,20.71,32.29,6.43,102,87,,
Fallout4,PS4,2015,Role-Playing,Bethesda Softworks,31.63,40.88,3,14.13,89.5,87,6.5,M
Halo4,X360,2012,Shooter,Microsoft Game Studios,60.45,20.73,0.36,6.73,88.27,87,7,M
PokemonHeartGold/PokemonSoulSilver,DS,2009,Action,Nintendo,31,19.36,28.29,5.43,84.07,87,,
DonkeyKongCountryReturns,Wii,2010,Platform,Nintendo,24.38,13.77,7.92,3.54,49.54,87,8.6,E
Batman:ArkhamKnight,PS4,2015,Action,Warner Bros. Interactive Entertainment,19.13,21.13,1.25,8,49.38,87,7.6,M
NBA2K16,PS4,2015,Sports,Take-Two Interactive,31.13,8.25,0.38,8.63,48.5,87,6.7,E10+
DragonQuestIX:SentinelsoftheStarrySkies,DS,2009,Role-Playing,Nintendo,4.5,4.79,31.07,1.07,41.29,87,8.8,E10+
MarioKart:DoubleDash!!,GC,2003,Racing,Nintendo,20.6,8.85,4.35,0.95,34.75,87,,
Battlefield1,XOne,2016,Shooter,Electronic Arts,18.29,11,0,2.86,32.14,87,8.2,M
FIFA14,PS4,2013,Sports,Electronic Arts,6.1,18.5,1.1,4.4,30.1,87,6.3,E
Driver,PS,1999,Action,GT Interactive,12.96,11.67,0.08,1.38,26.13,87,8.1,T
NBA2K14,X360,2013,Sports,Take-Two Interactive,21,1.9,0,2.3,25.2,87,4.9,E
KingdomHeartsII,PS2,2005,Role-Playing,Square Enix,12.22,3.22,7.67,0.94,24.06,87,9,E10+
TheLegendofZelda:SpiritTracks,DS,2009,Action,Nintendo,10,6.5,5.29,1.86,23.64,87,7.8,E10+
HeavyRain,PS3,2010,Adventure,Sony Computer Entertainment,9.92,9.31,0.46,3.62,23.31,87,7.7,M
ForzaMotorsport6,XOne,2015,Racing,Microsoft Game Studios,9.13,11.25,0.38,1.75,22.5,87,7.9,E
LittleBigPlanet,PSP,2009,Platform,Sony Computer Entertainment,4.57,8.71,0.07,4.79,18.14,87,7.8,E10+
FIFASoccer09,PS3,2008,Sports,Electronic Arts,3.2,10.87,0.27,2.87,17.2,87,7.5,E
MaxPayne3,PS3,2012,Shooter,Take-Two Interactive,5.36,8.09,0.55,2.73,16.82,87,7.8,M
Resistance2,PS3,2008,Shooter,Sony Computer Entertainment,7.67,5.6,0.67,2.53,16.4,87,6.1,M
HannahMontana,DS,2006,Action,Disney Interactive Studios,9.35,4.71,0,1.53,15.59,87,6.7,E
Middle-Earth:ShadowofMordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,8.11,5.56,0.11,1.33,15,87,8,M
SOCOMII:U.S.NavySEALs,PS2,2003,Shooter,Sony Computer Entertainment,11.1,2.55,0.3,0.75,14.7,87,9,M
AnimalCrossing,GC,2001,Simulation,Nintendo,8.73,0.73,4.5,0.41,14.32,87,8.9,E
DiabloIII,X360,2013,Role-Playing,Activision,9,3.9,0,1.2,14.1,87,6.6,M
JakII,PS2,2003,Platform,Sony Computer Entertainment,8.4,3.7,0,1.8,13.9,87,8.2,T
KingdomHeartsII,PS3,2014,Role-Playing,Square Enix,5.78,3.89,2,2,13.67,87,,
TheElderScrollsIII:Morrowind,XB,2002,Role-Playing,Ubisoft,9.95,3,0.14,0.52,13.62,87,8.7,T
Spider-Man,PS,2000,Action,Activision,7.39,5.43,0.09,0.7,13.61,87,9,E
BurnoutParadise,PS3,2008,Racing,Electronic Arts,6.73,4.13,0.13,1.93,12.93,87,7.7,E10+
FIFASoccer09,X360,2008,Sports,Electronic Arts,3.27,8.4,0.07,1.2,12.93,87,8,E
PGR4-ProjectGothamRacing4,X360,2007,Racing,Microsoft Game Studios,3,8,0.13,1.56,12.75,87,,
DoomII:HellonEarth,PC,1994,Shooter,Virgin Interactive,7.07,4.83,0,0.55,12.45,87,,
ZeldaII:TheAdventureofLink,NES,1987,Adventure,Nintendo,6.08,1.39,4.47,0.22,12.17,87,,
DragonAge:Origins,PS3,2009,Role-Playing,Electronic Arts,6.86,3,0.57,1.5,11.93,87,7.9,M
PaperMario:TheThousand-YearDoor,GC,2004,Role-Playing,Nintendo,7.79,1.32,2.42,0.32,11.84,87,9.4,E
Pikmin3,WiiU,2013,Strategy,Nintendo,4.4,3.2,2.9,0.7,11.1,87,8.7,E10+
FinalFantasyTacticsAdvance,GBA,2003,Role-Playing,SquareSoft,4.1,1.85,4.45,0.25,10.65,87,7.8,E
NCAAFootball06,PS2,2005,Sports,Electronic Arts,8.5,0.28,0,1.39,10.22,87,8.5,E
SonicAdvance,GBA,2001,Platform,Sega,5.41,3.23,1,0.59,10.18,87,8.1,E
2Gamesin1:SonicAdvance&ChuChuRocket!,GBA,2005,Misc,THQ,7.28,2.72,0,0.17,10.17,87,,
NCAAFootball07,PS2,2006,Sports,Electronic Arts,8.29,0.29,0,1.35,10,87,8.6,E
FightNightRound4,X360,2009,Fighting,Electronic Arts,6.79,2.36,0,0.93,10,87,8.1,T
ProEvolutionSoccer2016,PS4,2015,Sports,Konami Digital Entertainment,1.63,5.25,1.63,1.25,9.88,87,7.1,E
SonicAdventure,DC,1998,Platform,Sega,5.04,2.44,1.84,0.32,9.68,87,,
Marvelvs.Capcom3:FateofTwoWorlds,X360,2011,Fighting,Capcom,6.58,1.5,0.25,0.58,8.92,87,,
DiRT3,PS3,2011,Racing,Codemasters,2.25,4.75,0.08,1.67,8.83,87,7.1,T
StarWars:RogueSquadron,N64,1998,Simulation,Nintendo,6.4,1.84,0.32,0.12,8.68,87,,
Bayonetta,PS3,2009,Action,Sega,3.14,2.79,1.5,1.14,8.64,87,7.7,M
MVPBaseball2005,PS2,2005,Sports,Electronic Arts,7,0.39,0,1.17,8.56,87,8.6,E
MLB12:TheShow,PS3,2012,Sports,Sony Computer Entertainment,7.82,0,0,0.55,8.36,87,7.5,E
RaymanOrigins,PS3,2011,Platform,Ubisoft,2.75,4.08,0.08,1.42,8.33,87,8.4,E10+
Titanfall2,XOne,2016,Shooter,Electronic Arts,5.29,2.14,0,0.71,8.14,87,8,M
DeadorAlive3,XB,2001,Fighting,Microsoft Game Studios,5.41,1.32,1.09,0.27,8.05,87,8.6,T
Kirby64:TheCrystalShards,N64,2000,Platform,Nintendo,2.74,0.26,4.48,0.17,7.7,87,,
Tenchu:StealthAssassins,PS,1997,Action,Activision,3.65,2.46,1.04,0.5,7.65,87,8.8,M
TonyHawk'sProSkater3,PS,2001,Sports,Activision,4.95,2.23,0.09,0.32,7.59,87,8.3,E
NASCAR2005:ChasefortheCup,PS2,2004,Racing,Electronic Arts,3.63,2.84,0,0.95,7.42,87,8.4,E
MLB13:TheShow,PS3,2013,Sports,Sony Computer Entertainment,6.7,0,0,0.7,7.4,87,7.8,E
GRID,PS3,2008,Racing,Codemasters,2.07,3.73,0.2,1.33,7.33,87,8.1,E
SuperMonkeyBall2,GC,2002,Puzzle,Atari,5.29,1.48,0.29,0.19,7.24,87,8.5,E
DiRT2,PS3,2009,Racing,Codemasters,1.93,3.71,0,1.36,7.07,87,8.2,T
MetalGearSolid:PortableOps,PSP,2006,Action,Konami Digital Entertainment,2.24,2.06,2.24,0.47,6.94,87,8.2,M
SuperMonkeyBall,GC,2001,Puzzle,Atari,4.32,1.68,0.45,0.18,6.64,87,7.9,E
TomClancy'sSplinterCell:PandoraTomorrow,PS2,2004,Action,Ubisoft,2.74,2.95,0,0.89,6.58,87,8.6,T
RaymanOrigins,X360,2011,Platform,Ubisoft,3.17,2.67,0,0.67,6.5,87,8.2,E10+
ResidentEvilZero,GC,2002,Action,Capcom,2.57,1.29,2.14,0.19,6.14,87,,
Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,1.4,3.4,0,1.4,6.1,87,8.9,E
Skylanders:SuperChargers,WiiU,2015,Action,Activision,3.13,2.38,0,0.5,6,87,5.6,E10+
DiRT3,X360,2011,Racing,Codemasters,1.92,3.33,0.08,0.67,6,87,7.1,T
GRID,X360,2008,Racing,Codemasters,2.2,2.93,0.07,0.6,5.8,87,7.9,E
DiRT2,X360,2009,Racing,Codemasters,2.29,2.79,0,0.64,5.71,87,8.2,T
Baldur'sGate:DarkAlliance,PS2,2001,Role-Playing,Virgin Interactive,2.77,2.18,0,0.73,5.64,87,8.3,T
DarkSoulsIII,XOne,2016,Role-Playing,Namco Bandai Games,3.71,1.29,0,0.57,5.57,87,8.6,
Battlefield:BadCompany2,PC,2010,Shooter,Electronic Arts,1.46,4.08,0,0,5.54,87,8.3,M
FinalFantasyII,SNES,1991,Role-Playing,Square,0.75,0.28,4.16,0.38,5.53,87,,
Bully,PS2,2006,Action,Take-Two Interactive,4.41,0.18,0.24,0.71,5.53,87,9.1,T
Middle-Earth:ShadowofMordor,X360,2014,Action,Warner Bros. Interactive Entertainment,3.11,1.78,0,0.44,5.44,87,4.6,M
DJHero,Wii,2009,Misc,Activision,3.21,1.64,0,0.5,5.43,87,7.6,T
NCAAFootball06,XB,2005,Sports,Electronic Arts,4.06,1.17,0,0.17,5.39,87,8.3,E
MechAssault,XB,2002,Simulation,Microsoft Game Studios,4.81,0.48,0,0.14,5.38,87,8,T
TomClancy'sSplinterCell:ChaosTheory,PS2,2005,Action,Ubisoft,2,2.5,0,0.78,5.28,87,8.6,M
WorldofWarcraft:WarlordsofDraenor,PC,2014,Action,Activision Blizzard,0.89,4,0,0.33,5.22,87,5.9,T
DiabloII:LordofDestruction,PC,2001,Role-Playing,Vivendi Games,4.68,0.09,0,0,4.82,87,9.1,M
Destiny:TheTakenKing,PS3,2015,Shooter,Activision,2.13,1.38,0.25,0.75,4.63,87,5.5,T
DarkCloud2,PS2,2002,Role-Playing,Sony Computer Entertainment,1.81,1.19,1.24,0.33,4.57,87,9.1,T
RoadRash,PS,1995,Racing,Electronic Arts,2.54,1.71,0,0.29,4.54,87,,
TacticsOgre:LetUsClingTogether,PSP,2010,Role-Playing,Square Enix,1.15,0.54,2.08,0.38,4.08,87,8.8,T
BlazBlue:CalamityTrigger,PS3,2009,Fighting,PQube,2.57,0.71,0.43,0.43,4.07,87,8.4,T
FIFA14,PC,2013,Sports,Electronic Arts,0.1,3.6,0,0.3,4,87,4.6,E
MaxPayne3,PC,2012,Shooter,Take-Two Interactive,1.45,2,0,0.45,3.91,87,7.6,M
WarioWare:Twisted!,GBA,2004,Puzzle,Unknown,0.84,0.32,2.63,0.11,3.89,87,,
RocketLeague,XOne,2016,Sports,505 Games,0.71,2.43,0,0.29,3.43,87,8.3,E
PGR3-ProjectGothamRacing3,X360,2005,Racing,Microsoft Game Studios,2.72,0.17,0.17,0.28,3.33,87,,
Marvelvs.Capcom:ClashofSuperHeroes,PS,1999,Fighting,Capcom,1.79,1.25,0,0.21,3.25,87,,
BlazBlue:ContinuumShift,PS3,2010,Fighting,PQube,1.62,0.54,0.69,0.31,3.15,87,8,T
SinandPunishment:StarSuccessor,Wii,2009,Shooter,Nintendo,1.36,1,0.43,0.21,3,87,,
Doom(2016),PC,2016,Shooter,Bethesda Softworks,1,1.86,0,0.29,3,87,,
MetalGearSolid2:Substance,XB,2002,Action,Konami Digital Entertainment,1.81,1.05,0,0.14,2.95,87,8.5,M
OdinSphere:Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,1,0.57,1,0.29,2.86,87,8.2,T
Half-Life,PS2,2001,Shooter,Vivendi Games,1.32,1.05,0,0.36,2.73,87,8.6,M
StreetFighterAlpha:Warriors'Dreams,PS,1995,Fighting,Virgin Interactive,0.61,0.39,1.54,0.18,2.71,87,,
RalliSportChallenge,XB,2002,Racing,Microsoft Game Studios,1.86,0.76,0,0.1,2.71,87,8.3,E
DeadSpace2,PC,2011,Shooter,Electronic Arts,1.08,1.25,0,0.33,2.67,87,8.3,M
Zack&Wiki:QuestforBarbaros'Treasure,Wii,2007,Adventure,Nintendo,1.13,1,0.19,0.25,2.63,87,,
MetalGearSolid2:Substance,PS2,2002,Action,Konami Digital Entertainment,0.86,0.67,0.76,0.24,2.48,87,9,M
SSXTricky,GC,2001,Sports,Electronic Arts,1.91,0.5,0,0.05,2.45,87,8.6,E
DJHero,PS2,2009,Misc,Activision,0.71,0.14,0,1.43,2.29,87,6.4,T
EliteBeatAgents,DS,2006,Misc,Nintendo,1.76,0.18,0,0.18,2.12,87,8.6,E10+
LittleKing'sStory,Wii,2009,Strategy,Rising Star Games,1,0.71,0.14,0.14,2.07,87,8.8,T
America'sTestKitchen:Let'sGetCooking,DS,2010,Simulation,Nintendo,1.92,0,0,0.15,2,87,5.6,E
BokunoNatsuyasumi2:UminoBoukenHen,PS2,2002,Adventure,Sony Computer Entertainment,0,0,1.95,0,1.95,87,,
Jeanned'Arc,PSP,2006,Role-Playing,Sony Computer Entertainment,1.24,0,0.59,0.12,1.94,87,8.2,T
SyphonFilter:DarkMirror,PSP,2006,Shooter,Sony Computer Entertainment,1.53,0.06,0,0.18,1.71,87,9,M
GuiltyGearX2,PS2,2002,Fighting,Sammy Corporation,0.43,0.33,0.76,0.1,1.67,87,8.7,T
Grandia,SAT,1997,Role-Playing,ESP,0,0,1.62,0,1.62,87,,
RaymanLegends,PSV,2014,Platform,Ubisoft,0.11,1.11,0,0.33,1.56,87,8.4,E10+
NBA2K3,XB,2002,Sports,Sega,1.14,0.33,0,0.05,1.52,87,7.9,E
RalliSportChallenge2,XB,2004,Racing,Microsoft Game Studios,0.95,0.42,0,0.05,1.42,87,9.1,E
FinalFantasyXI:TreasuresofAhtUrhgan,PS2,2006,Role-Playing,Square Enix,0.35,0.29,0.59,0.12,1.35,87,7.1,T
Disgaea:AfternoonofDarkness,PSP,2006,Role-Playing,Tecmo Koei,0.88,0.06,0.24,0.12,1.35,87,8.2,T
ESPNNBABasketball,XB,2003,Sports,Sega,1,0.3,0,0.05,1.35,87,8.2,E
WorldSeriesBaseball2K3,PS2,2003,Sports,Sega,0.6,0.5,0,0.15,1.25,87,8.7,E
Castlevania:HarmonyofDissonance,GBA,2002,Platform,Konami Digital Entertainment,0.76,0.29,0.19,0,1.24,87,8.2,T
AgeofEmpiresIII:CompleteCollection,PC,2009,Strategy,Microsoft Game Studios,0.07,0.86,0,0.21,1.21,87,8.5,T
MidnightClub3:DUBEditionRemix,XB,2006,Racing,Take-Two Interactive,0.88,0.24,0,0.06,1.18,87,5.3,E10+
FightNightRound2,GC,2005,Fighting,Electronic Arts,0.72,0.17,0,0,0.94,87,7.9,T
NFL2K2,XB,2002,Sports,Sega,0.62,0.19,0,0.05,0.86,87,tbd,E
FIFA12,PS2,2011,Sports,Electronic Arts,0,0.17,0,0.5,0.75,87,,
ProEvolutionSoccer2017,XOne,2016,Sports,Konami Digital Entertainment,0.14,0.43,0,0,0.71,87,6.1,E
XCOM2,XOne,2016,Strategy,Take-Two Interactive,0.29,0.29,0,0,0.71,87,8.1,T
BurnoutParadise:TheUltimateBox,PC,2009,Racing,Electronic Arts,0,0.57,0,0.07,0.64,87,7.5,E10+
UltimateCardGames,GBA,2003,Misc,Telegames,0.45,0.15,0,0,0.6,87,,E
Doom3,PC,2004,Shooter,Activision,0.26,0.21,0,0.05,0.53,87,7.6,M
FootballManager2010,PC,2009,Sports,Sega,0,0.43,0,0.07,0.5,87,9,E
MotoGP2,XB,2003,Racing,THQ,0.35,0.1,0,0,0.5,87,8.5,E
Plantsvs.Zombies,PC,2009,Strategy,PopCap Games,0,0.29,0,0.07,0.36,87,8.9,E10+
GRID,PC,2008,Racing,Codemasters,0,0.2,0,0.07,0.27,87,7.9,E
CompanyofHeroes:OpposingFronts,PC,2007,Strategy,THQ,0.06,0.19,0,0.06,0.25,87,8.6,M
Divinity:OriginalSin,PC,2014,Role-Playing,Focus Home Interactive,0,0.22,0,0,0.22,87,8.7,M
SinsofaSolarEmpire,PC,2008,Strategy,Pinnacle,0,0.13,0,0,0.2,87,8.2,T
I.Q.Remix+:IntelligentQube,PS2,2000,Puzzle,Sony Computer Entertainment,0,0,0.17,0,0.17,87,,
GearsofWar,PC,2007,Shooter,Microsoft Game Studios,0,0.06,0,0,0.13,87,7.8,M
WorldwideSoccerManager2007,PC,2006,Sports,Sega,0,0.12,0,0,0.12,87,,E
CaesarIII,PC,1998,Strategy,Vivendi Games,0,0.12,0,0,0.12,87,8.7,E
ColinMcRaeRally04,PC,2004,Racing,Codemasters,0,0.05,0,0,0.05,87,7.2,
AnimalCrossing:WildWorld,DS,2005,Simulation,Nintendo,13.89,19.17,29.61,4.78,67.39,86,8.7,E
FIFA14,PS3,2013,Sports,Electronic Arts,7.8,42.4,0.7,13.7,64.7,86,4.3,E
Uncharted:TheNathanDrakeCollection,PS4,2015,Action,Sony Computer Entertainment,25.88,21.38,1,9.5,57.75,86,8.1,T
TheSims3,PC,2009,Simulation,Electronic Arts,7.07,45.86,0,4.29,57.21,86,7.6,T
Luigi'sMansion:DarkMoon,3DS,2013,Action,Nintendo,18,13.9,11.1,2.9,45.9,86,8.4,E
MonsterHunter4Ultimate,3DS,2014,Role-Playing,Nintendo,7.56,5.33,29.11,1.22,43.22,86,8.7,T
Assassin'sCreedIV:BlackFlag,X360,2013,Action,Ubisoft,19,11.1,0.1,2.9,33,86,7.9,M
Titanfall,XOne,2014,Shooter,Electronic Arts,20.44,8.89,0.44,3,32.78,86,6.4,M
GrandTheftAuto:ViceCityStories,PSP,2006,Action,Take-Two Interactive,10,11.71,0.94,6.94,29.59,86,8,M
NBA2K16,XOne,2015,Sports,Take-Two Interactive,24.38,1.88,0,3,29.25,86,6.2,E10+
GuitarHeroIII:LegendsofRock,Wii,2007,Misc,Activision,19,6.94,0,2.69,28.75,86,8.4,T
WinningEleven:ProEvolutionSoccer2007,PS2,2006,Sports,Konami Digital Entertainment,0.59,14.06,6.18,5.06,25.82,86,8.9,E
Resistance:FallofMan,PS3,2006,Shooter,Sony Computer Entertainment,10.24,10.12,0.82,4.41,25.53,86,8.1,M
TombRaider(2013),PS3,2013,Action,Square Enix,6,12.6,0.8,4.8,24.2,86,,
Destiny:TheTakenKing,PS4,2015,Shooter,Activision,9.75,9.88,0.5,3.88,24.13,86,6,T
GuitarHero:WorldTour,Wii,2008,Misc,Activision,15.47,6.4,0,2.27,24.13,86,7.6,T
MonsterHunterTri,3DS,2011,Role-Playing,Nintendo,3.83,2.42,16.33,0.58,23.25,86,,
Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,2,7.11,10,2.67,21.78,86,,
ProfessorLaytonandtheUnwoundFuture,DS,2008,Puzzle,Nintendo,4,10.47,5.47,1.8,21.73,86,9.2,E10+
DiabloIII,PS4,2014,Role-Playing,Activision,5.67,10.89,0.67,3.11,20.22,86,,M
DiabloIII,PS3,2013,Role-Playing,Activision,7.2,7.5,1.5,2.9,19.1,86,6.4,M
TombRaider(2013),X360,2013,Action,Square Enix,8.6,8.4,0.1,1.7,18.9,86,,
DonkeyKongCountryReturns,3DS,2013,Platform,Nintendo,7.4,6.2,4.1,1.3,18.9,86,,
DragonAge:Origins,X360,2009,Role-Playing,Electronic Arts,12.57,3.93,0.21,1.57,18.29,86,7.9,M
MortalKombat,X360,2011,Fighting,Warner Bros. Interactive Entertainment,13.58,2.58,0,1.33,17.5,86,8.3,M
MortalKombatX,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,12.88,2.63,0,1.75,17.25,86,7.3,M
RiseoftheTombRaider,XOne,2015,Adventure,Square Enix,6.88,8.75,0.25,1.38,17.25,86,8,M
DanceCentral2,X360,2011,Misc,Microsoft Game Studios,12.08,3.42,0.08,1.33,17,86,8.2,T
StarCraftII:HeartoftheSwarm,PC,2013,Strategy,Activision,8.3,6.6,0,1.8,16.7,86,7.9,T
Kirby'sEpicYarn,Wii,2010,Platform,Nintendo,10.92,0.69,3.46,0.77,15.85,86,,
TombRaider(2013),PS4,2014,Action,Square Enix,5.22,7.22,0.67,2.44,15.56,86,,
ForzaHorizon2,XOne,2014,Racing,Microsoft Game Studios,5.56,8.67,0.11,1.22,15.56,86,8.2,E10+
MaxPayne3,X360,2012,Shooter,Take-Two Interactive,7.82,5.64,0.09,1.18,14.73,86,7.8,M
TheLegendofZelda:TwilightPrincessHD,WiiU,2016,Action,Nintendo,8,4.29,1.14,1.29,14.71,86,8.4,T
SonictheHedgehog,GEN,1991,Platform,Sega,9.47,2.84,0.81,0.41,13.56,86,,
StarWarsEpisodeIRacer,N64,1999,Racing,Nintendo,9.63,2.58,0.58,0.17,13,86,,
Onimusha:Warlords,PS2,2001,Action,Virgin Interactive,4.5,2.18,4.95,0.64,12.27,86,8.2,M
GuitarHero:WorldTour,PS2,2008,Misc,Activision,6.67,0.2,0,5.13,12,86,8,T
KillerInstinct,SNES,1995,Fighting,Nintendo,8.07,2.57,0.43,0.36,11.43,86,,
Excitebike,NES,1984,Racing,Nintendo,5.23,1.23,4.03,0.18,10.67,86,,
FootballManager2013,PC,2012,Sports,Sega,0,8.64,0,1.91,10.45,86,6.7,
MaddenNFL06,XB,2005,Sports,Electronic Arts,9.72,0.17,0,0.44,10.33,86,6.7,E
NBALive2004,PS2,2003,Sports,Electronic Arts,7.85,0.9,0,1.35,10.15,86,7.7,E
Rocksmith2014,PS3,2013,Misc,Ubisoft,5.3,2.4,0.5,1.6,9.8,86,,
NeedForSpeed:HighStakes,PS,1999,Racing,Electronic Arts,6.58,2.67,0,0.38,9.63,86,8.5,E
UFCUndisputed3,PS3,2012,Action,THQ,5,2.91,0.27,1.18,9.36,86,7.4,T
FinalFantasyX/X-2HDRemaster,PS4,2015,Role-Playing,Square Enix,3.63,3.38,0.75,1.38,9.25,86,,
NBA2K14,XOne,2013,Sports,Take-Two Interactive,7,1.1,0,0.9,9.1,86,5.7,E
ForzaHorizon2,X360,2014,Racing,Microsoft Game Studios,3.89,4.11,0,0.67,8.67,86,5.1,E10+
FightNightRound3,X360,2006,Fighting,Electronic Arts,7.82,0.18,0.06,0.59,8.65,86,8.8,T
ValkyriaChronicles,PS3,2008,Role-Playing,Sega,4.73,1.27,1.6,0.87,8.47,86,8.6,T
FinalFantasyX/X-2HDRemaster,PSV,2013,Role-Playing,Square Enix,1.6,2.4,2.8,1.2,8,86,8.5,T
TomClancy'sRainbowSix:Vegas,PS3,2007,Shooter,Ubisoft,2.94,3.31,0.19,1.38,7.81,86,7.6,M
GuitarHero5,PS3,2009,Misc,Activision,3.79,2.79,0,1.21,7.79,86,5.7,T
Skylanders:TrapTeam,WiiU,2014,Action,Activision,4.22,2.89,0,0.67,7.78,86,7.1,E10+
TomClancy'sRainbowSix3,XB,2003,Shooter,Ubisoft,4.55,2.85,0,0.35,7.75,86,8.5,M
GodofWar:GhostofSparta,PSP,2010,Action,Sony Computer Entertainment,3.15,2.69,0.23,1.62,7.69,86,8.4,M
DanceCentral3,X360,2012,Misc,Microsoft Game Studios,5.18,1.64,0,0.55,7.36,86,8,T
DiabloIII,XOne,2014,Role-Playing,Activision,4,2.67,0,0.67,7.33,86,,
StarWarsKnightsoftheOldRepublicII:TheSithLords,XB,2004,Role-Playing,Activision,5.21,1.74,0,0.26,7.21,86,8.6,T
