Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score,Rating
Portal2,X360,2011,Shooter,Valve Software,11.75,4.08,0.08,1.42,17.33,95,8.5,E10+
TheLegendofZelda:ALinktothePast,SNES,1991,Action,Nintendo,7.56,2.84,3.59,0.41,14.41,95,,
Portal2,PS3,2011,Shooter,Valve,6.92,5,0.17,2,14.17,95,8.4,E10+
TheLegendofZelda:ALinktothePast,GBA,2002,Action,Nintendo,8.33,2.48,1.57,0.48,12.86,95,9.1,E
MetalGearSolidV:ThePhantomPain,XOne,2015,Action,Konami Digital Entertainment,5.13,3.25,0.13,0.88,9.38,95,7.3,M
Portal2,PC,2011,Shooter,Valve Software,2.75,2.67,0,0.83,6.33,95,8.8,E10+
TonyHawk'sProSkater2,GBA,2001,Sports,Activision,3.86,1.41,0,0.09,5.36,95,7.5,E
SuperMetroid,SNES,1994,Action,Nintendo,1.97,0.41,2.45,0.07,4.9,95,,
007:QuantumofSolace,PS2,2008,Action,Activision,1.13,0,0,1.73,2.87,95,,
ShadowoftheColossus,PS3,2011,Action,Sony Computer Entertainment,0,0,0.33,0,0.33,95,8.4,T
CallofDuty:ModernWarfare2,X360,2009,Shooter,Activision,60.86,25.64,0.57,9.14,96.21,94,6.3,M
Halo3,X360,2007,Shooter,Microsoft Game Studios,49.81,17.56,0.81,7.56,75.75,94,7.8,M
CallofDuty:ModernWarfare2,PS3,2009,Shooter,Activision,35.64,26,2.71,11.43,75.71,94,6.3,M
CallofDuty4:ModernWarfare,X360,2007,Shooter,Activision,37.06,14.75,0.81,5.63,58.19,94,8.4,M
CallofDuty4:ModernWarfare,PS3,2007,Shooter,Activision,19.44,14.13,1.75,6.44,41.75,94,8.4,M
MetalGearSolid4:GunsofthePatriots,PS3,2008,Action,Konami Digital Entertainment,17.53,11.4,5.53,5.47,39.93,94,8.7,M
Batman:ArkhamCity,X360,2011,Action,Warner Bros. Interactive Entertainment,24.92,10.58,0.33,3.5,39.42,94,8.7,T
TheLegendofZelda:OcarinaofTime,3DS,2011,Action,Nintendo,17.42,10.92,5.17,2.58,36.08,94,,
GearsofWar,X360,2006,Shooter,Microsoft Game Studios,20.82,11.06,0.41,3.53,35.82,94,8.3,M
TheElderScrollsV:Skyrim,PC,2011,Role-Playing,Bethesda Softworks,9.67,17.67,0,5,32.33,94,8.1,M
StreetFighterIV,PS3,2009,Fighting,Capcom,14.5,7.43,4.14,3.71,29.71,94,7.3,T
MaddenNFL2004,PS2,2003,Sports,Electronic Arts,21.3,1.3,0.05,3.55,26.15,94,8.5,E
TheElderScrollsIV:Oblivion,X360,2006,Role-Playing,Take-Two Interactive,16.59,6.06,0.76,2.35,25.76,94,8.7,M
SuperMarioWorld,GBA,2001,Platform,Nintendo,14.59,5.05,4.32,0.91,24.82,94,,
GodofWar,PS2,2005,Action,Sony Computer Entertainment,15.06,7.17,0.11,2.39,24.72,94,8.9,M
MetalGearSolid,PS,1998,Action,Konami Digital Entertainment,12.72,7.32,3.12,0.96,24.12,94,9.4,M
FinalFantasyIX,PS,2000,Role-Playing,SquareSoft,7.04,3.35,12.09,0.61,23.04,94,8.9,T
TheElderScrollsV:Skyrim,PS4,2016,Role-Playing,Bethesda Softworks,6.86,8.43,0.57,3,19,94,,
TonyHawk'sProSkater4,PS2,2002,Sports,Activision,10.14,5.62,0.05,1.67,17.48,94,8.5,T
BioShockInfinite,PS3,2013,Shooter,Take-Two Interactive,7.2,6.5,0.4,2.8,16.9,94,8.5,M
MaddenNFL2002,PS2,2001,Sports,Electronic Arts,11.36,0.73,0.05,1.91,14,94,7.9,E
DevilMayCry,PS2,2001,Action,Capcom,6.18,3.91,2.91,0.59,13.59,94,8.5,M
MassEffect2,PS3,2011,Role-Playing,Electronic Arts,6.5,3.75,0.25,1.58,12.08,94,8.5,M
